,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area,SalePrice,Garage Car Means,Exter Qual Means,Foundation Means,Bsmt Qual Means,Garage Finish Means,Interaction,Overall Qual Projections,Neighborhood Projections,TotRms AbvGrd Projections,Neighborhood * Total Rooms Projections,Neighborhood * Overall Quality Projections,Overall Quality * Total Rooms Projections
10,21.0,1680,6,1971,1971,483.0,483,987,4,1971.0,1.0,264.0,85400,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1887.7120557829262,107330.68795925546,104302.67229992924,139995.436947625,14601898183.433538,11194877573.940184,15025806558.745163
11,64.0,7488,7,2005,2005,1208.0,1208,1208,6,2005.0,2.0,632.0,183600,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2227.012786457375,178657.7858997209,204834.44230727933,206484.18703302374,42295073296.18137,36595267938.62264,36890007678.623886
12,120.0,26400,5,1880,2007,0.0,1288,2016,7,1900.0,2.0,576.0,131000,184125.95686619717,230802.4849354376,227676.4838012959,107077.42608695652,140718.148409894,1949.9759986020206,187738.94957589256,136758.5667665555,141732.82248794593,19383177667.230114,25674909670.2577,26608771214.31341
13,24.0,2645,8,1999,2000,960.0,962,1607,7,2000.0,2.0,480.0,200000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,140718.148409894,2447.710247807763,230771.35688633437,248596.60588555463,265248.94641687575,65939987793.95466,57368976057.54674,61211859277.293015
14,74.0,9627,7,2007,2007,1351.0,1361,1361,6,2007.0,2.0,610.0,193000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2264.4020691253245,195395.16222733568,212379.4518447086,213224.88176512366,45284583508.92976,41497917446.94946,41663110363.40081
15,93.0,10114,5,2004,2005,1430.0,1430,1430,7,2004.0,2.0,624.0,173500,184125.95686619717,143270.97834803528,227676.4838012959,329506.6195652174,204792.03626943004,1963.8656546663772,192617.1368398894,170807.04587498674,145179.63468243112,24797704521.315826,32900364128.51959,27964085559.990986
16,34.0,4571,5,1916,1950,624.0,624,1344,7,1916.0,3.0,513.0,98000,309382.74524714827,143270.97834803528,129050.19004524886,139988.4611048478,140718.148409894,1815.9258434946444,140659.18342821312,121107.11508435536,108467.36889025544,13136170127.089392,17034827915.112057,15256931536.710096
17,80.0,8816,5,1963,1963,1121.0,1121,1121,5,1963.0,2.0,480.0,139000,184125.95686619717,143270.97834803528,227676.4838012959,139988.4611048478,140718.148409894,1770.2308955575736,124610.65695478645,134107.7885770815,121814.91915284796,16336329423.284409,16711259637.34373,15179437102.530582
18,71.0,8197,6,1977,1977,660.0,1285,1285,7,1977.0,2.0,528.0,143500,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,204792.03626943004,1959.8757993852257,135362.27680618333,164535.03585613065,144189.5250804666,23724228679.193024,22271837067.872856,19517822406.494236
19,72.0,8640,7,2009,2009,756.0,764,1547,7,2009.0,2.0,614.0,215200,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,140718.148409894,2215.585818716143,173542.48424852165,178476.9078178173,207645.6977025981,37059962047.63296,30973325963.69841,36035350222.826416
20,109.0,8724,5,1968,1968,894.0,894,894,5,1968.0,2.0,450.0,129000,184125.95686619717,143270.97834803528,148415.5307068366,202537.58217592593,239800.66404715128,1766.6576057485063,123355.68154312787,133534.47829863074,121145.5435047679,16177106950.113256,16472236580.033613,14943991084.943293
21,40.0,5664,8,2000,2000,1501.0,1659,1659,5,2000.0,2.0,499.0,278000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,239800.66404715128,2458.262131627342,237006.14634275902,241158.5824552648,250702.12930156506,60458970120.881935,57156066285.20481,59417945545.68803
22,103.0,12867,8,2005,2006,1209.0,1209,2253,8,2005.0,2.0,575.0,344133,184125.95686619717,230802.4849354376,227676.4838012959,329506.6195652174,239800.66404715128,2661.629664977741,357169.8796052006,332381.9523192491,320980.2534734525,106688043305.4336,118716821892.80772,114644478488.75981
23,0.0,7980,6,1992,2007,1168.0,1187,1187,6,1992.0,2.0,420.0,185000,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,239800.66404715128,1998.5928954448393,150401.70885216046,154062.96398313512,165303.70304971107,25467178449.2265,23171333053.892372,24861959418.266632
24,100.0,34650,5,1955,1955,1056.0,1056,1056,5,1955.0,2.0,572.0,145000,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,239800.66404715128,1755.188036217308,119327.45307214382,109345.51495586635,118996.97707204716,13011785736.134418,13047921804.545542,14199606197.291681
25,92.0,10573,6,1961,1961,1453.0,1453,1453,6,1961.0,2.0,530.0,187500,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,204792.03626943004,1993.4876411833602,148418.60236027042,170665.6257938126,164383.3066673573,28054579902.44074,25329953651.258583,24397540626.928894
26,65.0,8450,5,1965,2009,894.0,894,894,5,1973.0,1.0,336.0,138500,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1713.2526469623722,104599.32151681036,124966.01242311273,111141.32307813299,13888887960.503153,13071360112.118887,11625306986.45333
27,0.0,11700,5,1937,1995,942.0,1265,1938,7,1937.0,1.0,240.0,198000,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1908.1263734687427,173040.93924487464,154905.4419115947,131347.55466161133,20346450998.864243,26804983162.524715,22728504226.162735
28,75.0,8250,5,1895,2006,957.0,1034,1991,9,1900.1899845121322,0.0,0.0,119600,105669.15044247788,143270.97834803528,148415.5307068366,139988.4611048478,106065.99122807017,1914.9238003407247,175428.26410311536,130150.55715837068,131565.66488211893,17123344587.319262,22832086314.346264,23080336205.84233
29,60.0,8064,5,1949,2006,672.0,672,924,6,2003.0,2.0,576.0,122900,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1721.5632895611038,107518.10299656191,122902.37705010171,115359.65834577367,14177976226.383188,13214230434.195122,12403251627.669086
30,80.0,9600,8,1981,1981,2524.0,2524,2524,9,1981.0,2.0,542.0,278000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,239800.66404715128,2597.3197450887537,319171.0902588475,294144.8623103012,314675.1476863303,92560077988.66933,93882536397.61743,100435209964.4099
31,0.0,11435,8,1929,1950,792.0,792,1517,7,1931.0,2.0,400.0,230000,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,140718.148409894,2334.8424553434006,164081.18720108713,255736.9179615414,237240.0395275885,60671036525.85973,41961617110.27673,38926627337.31956
32,30.0,9549,8,1995,1996,1494.0,1494,1494,6,1995.0,2.0,481.0,270000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,239800.66404715128,2423.55225726956,216497.12990740177,268348.262872108,241917.13682558687,64918043426.14031,58096628727.44837,52374365798.15577
33,60.0,10950,6,1952,1952,948.0,948,948,5,1952.0,2.0,410.0,125000,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1876.6869654084944,103048.05536636367,150149.70032709235,141757.07457715605,21284782267.00526,15472634632.549126,14607790869.60052
34,79.0,10637,8,2007,2008,1705.0,1718,1718,7,2007.0,3.0,826.0,297000,309382.74524714827,230802.4849354376,227676.4838012959,329506.6195652174,204792.03626943004,2568.2149157204644,301973.9256217856,273687.6840863192,295152.99565534235,80779739832.05008,82646544357.88089,89128508757.07355
35,80.0,9000,6,1958,1958,160.0,1142,1142,5,1958.0,1.0,384.0,113500,126870.46666666666,143270.97834803528,148415.5307068366,202537.58217592593,204792.03626943004,1987.6924648963673,146167.4996476989,169647.70869717165,162551.46353816244,27576483334.6211,24796981401.22676,23759740989.447296
36,41.0,2665,5,1977,1977,757.0,925,1475,6,1977.0,1.0,336.0,127000,126870.46666666666,143270.97834803528,227676.4838012959,139988.4611048478,204792.03626943004,1839.3533506102983,148887.16015486888,118556.97519175088,136595.33839503684,16194330145.4092,17651611352.85103,20337292024.03036
37,105.0,11751,6,1977,1977,1844.0,1844,1844,7,1977.0,2.0,546.0,190000,184125.95686619717,143270.97834803528,148415.5307068366,202537.58217592593,204792.03626943004,2122.8575001538893,198671.5758732931,189820.6220042606,184634.53761961526,35047442774.42442,37711962106.83515,36681634549.52578
38,80.0,9600,7,1973,1973,1242.0,1242,1242,6,1973.0,2.0,528.0,175500,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,2084.416663661701,114824.38766938078,181368.2928535464,180776.36743447802,32787101149.856716,20825503169.549397,20757535695.758926
39,60.0,8428,5,1994,1994,990.0,990,990,5,1995.0,1.0,384.0,146000,126870.46666666666,143270.97834803528,227676.4838012959,202537.58217592593,140718.148409894,1793.1414741848366,132657.08318395098,117280.92548307453,126106.70186176748,14789910703.966248,15558145487.698975,16728947238.930193
40,75.0,9937,5,1965,1965,1256.0,1256,1256,6,1965.0,1.0,276.0,147500,126870.46666666666,230802.4849354376,148415.5307068366,139988.4611048478,239800.66404715128,1871.1154511977477,160042.33014940104,138257.6084849243,142321.54143593597,19677035954.820568,22127069822.810886,22777471121.861725
41,107.0,13891,10,2006,2006,2076.0,2076,2076,7,2006.0,3.0,850.0,465000,309382.74524714827,374460.3086419753,227676.4838012959,329506.6195652174,239800.66404715128,2986.5635328451854,371299.80445974326,455242.6417915182,398969.037490378,181627718620.13895,169031503878.92764,148137125605.66934
42,0.0,9101,5,1978,1978,1097.0,1110,1110,4,1978.0,2.0,602.0,165500,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,239800.66404715128,1822.8511136295733,143091.40812948855,149476.87216613273,131224.53181547392,19615032567.242214,21388856121.043488,18777103038.609035
43,81.0,12150,5,1954,1954,1050.0,1050,1795,7,1954.0,1.0,352.0,131500,126870.46666666666,143270.97834803528,129050.19004524886,139988.4611048478,140718.148409894,1888.8154442823109,166258.74619583742,133071.16923958174,126555.41683629532,16840877292.008467,22124245752.58695,21040944927.494034
44,70.0,11200,5,1965,1965,1040.0,1040,1040,5,1965.0,1.0,384.0,129500,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1751.343284323681,117977.137439142,131077.39859071793,118276.74909502354,15503408585.142736,15464136268.702326,13953952283.838505
45,100.0,9670,8,1935,1950,608.0,983,1873,9,1935.0,2.0,786.0,257076,184125.95686619717,143270.97834803528,227676.4838012959,139988.4611048478,239800.66404715128,2329.3849461338846,160856.50983924058,254447.32815575262,242779.3475435084,61774556313.8426,40929509145.0543,39052638506.89677
46,60.0,10998,5,1941,1960,984.0,984,1604,6,1977.0,2.0,660.0,117000,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1860.4735195043263,156304.7764324021,136548.38053090623,140402.96991526047,19171798163.658367,21343164091.089867,21945654823.050068
47,60.0,7200,7,1931,2000,776.0,851,1502,6,1931.0,1.0,270.0,149000,126870.46666666666,143270.97834803528,129050.19004524886,202537.58217592593,204792.03626943004,2206.686737185843,169558.79518271252,225454.18249655087,202819.72268729642,45726554772.64156,38227739553.01856,34389867818.14985
48,80.0,9920,5,1954,1954,1056.0,1063,1063,6,1954.0,1.0,280.0,128000,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,204792.03626943004,1756.8518485886766,119911.8007537627,129100.77823258385,121721.6259195582,15714356633.950413,15480706796.581299,14595859354.6901
49,36.0,2448,7,2003,2004,764.0,764,1626,6,2003.0,2.0,474.0,155000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2320.1856085458703,220366.75904720096,203278.598259089,223281.7692868597,45388405077.44215,44795845882.01343,49203879852.07013
51,65.0,7804,4,1928,1950,1122.0,1328,1981,7,1981.0,2.0,576.0,135000,184125.95686619717,143270.97834803528,129050.19004524886,139988.4611048478,140718.148409894,1718.930086902462,165837.15305736978,106242.14616122699,84397.21516678113,8966541269.349684,17618895054.08285,13996193889.229252
52,80.0,16692,7,1978,1978,1392.0,1392,2784,12,1978.0,2.0,564.0,250000,184125.95686619717,143270.97834803528,148415.5307068366,202537.58217592593,204792.03626943004,2392.74417017415,252847.723246174,249163.00829351333,264792.87194791524,65976588549.22162,63000299364.18241,66952274803.84606
53,21.0,1476,4,1970,1970,546.0,546,1092,5,1975.1899845121322,0.0,0.0,76000,105669.15044247788,143270.97834803528,148415.5307068366,139988.4611048478,106065.99122807017,1584.170888533434,108432.08128276149,86635.52447640541,86960.75270166036,7533890419.171333,9394070232.000263,9429335405.356556
54,75.0,10170,6,1951,1951,216.0,1575,1575,5,1951.0,2.0,400.0,155000,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,2015.5443410933249,156986.39987648046,174539.86374999423,167768.88744603473,29282358756.31902,27400384845.04301,26337433651.43545
55,80.0,9364,6,1969,1969,663.0,663,1352,7,1969.0,1.0,299.0,158000,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,239800.66404715128,1973.7790779871707,140762.92497019563,166765.72324858146,147639.7177998879,24621244319.114773,23474430989.240482,20782198519.286476
56,24.0,2544,7,2004,2005,600.0,600,1200,4,2004.0,2.0,480.0,149500,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2224.929644551928,177725.26386326097,181299.47263344974,185596.1233051044,33648479278.02814,32221496612.049915,32985119986.398003
57,82.0,9888,5,1954,1975,936.0,936,936,5,1954.0,1.0,240.0,121000,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1724.8123140371367,108659.19315357954,123473.0650495301,113306.7672635236,13990333844.881016,13416483624.481382,12311821909.694893
58,68.0,7942,6,1953,1953,1040.0,1040,1040,6,1953.0,1.0,293.0,136000,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,239800.66404715128,1902.0168331598488,112887.29600035981,154598.86704142136,147892.57055827582,22864023852.152912,17452248065.025204,16695192388.866182
59,0.0,15038,6,1996,1996,916.0,916,1636,7,1996.0,2.0,386.0,173000,184125.95686619717,143270.97834803528,227676.4838012959,202537.58217592593,239800.66404715128,2089.0921394119855,185555.61677336792,170689.15354217036,176255.43473779195,30084890962.600956,31672331162.04152,32705185902.42908
60,92.0,11764,8,1999,2007,1152.0,1164,2270,9,1999.0,3.0,671.0,290000,309382.74524714827,230802.4849354376,227676.4838012959,202537.58217592593,239800.66404715128,2562.169113892362,298401.64391948475,304950.89824664115,305243.06657836086,93084147336.63043,90997849351.52124,91085032862.00761
61,75.0,9000,8,2007,2007,1184.0,1184,2610,11,2007.0,2.0,550.0,303477,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,239800.66404715128,2608.4239144900225,325732.2085851244,297144.67912032397,366689.3339618316,108959784476.93376,96789592599.18123,119442526615.99567
62,0.0,20062,7,1977,2001,1420.0,1483,1483,4,1977.0,2.0,690.0,270000,184125.95686619717,230802.4849354376,148415.5307068366,202537.58217592593,204792.03626943004,2291.3196162491117,207444.8482303606,258166.67451630326,194573.79344294243,50232469201.18654,53555346613.17143,40363331050.376724
63,81.0,7308,5,1920,1950,936.0,960,1740,6,1920.0,1.0,225.0,122250,126870.46666666666,89801.19230769231,129050.19004524886,139988.4611048478,140718.148409894,1806.96672437567,137512.65045573987,119636.570793205,130756.54328390773,15643264447.26,16451541941.209377,17980678831.400826
64,70.0,8750,5,1955,1955,1382.0,1382,1382,6,1955.0,1.0,350.0,153000,126870.46666666666,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1822.948682672135,143125.67536105853,140710.62306136018,133637.8369170153,18804263297.16566,20139302956.13251,19127005662.538815
65,70.0,8402,5,2007,2007,1120.0,1120,1120,6,2012.1899845121322,0.0,0.0,147000,105669.15044247788,143270.97834803528,227676.4838012959,202537.58217592593,106065.99122807017,1825.1801973107258,143909.40580326374,149829.17455378844,134040.14361817722,20083124075.382748,21561827482.02918,19289637421.87602
66,63.0,4000,7,1930,1995,531.0,567,1098,5,1930.0,1.0,216.0,148500,126870.46666666666,143270.97834803528,129050.19004524886,202537.58217592593,140718.148409894,2112.2492662602695,127283.69982057426,203138.94763121355,185884.38476503151,37760358302.24409,25856276832.15874,23660052231.764397
67,32.0,3363,7,2004,2004,976.0,976,1708,7,2004.0,2.0,380.0,130000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,140718.148409894,2335.6139632559066,227273.28841796005,212861.90630243468,237431.4944396933,50540120522.66904,48377825424.27003,53961836515.2997
68,94.0,13615,9,2006,2006,1802.0,1802,1802,7,2006.0,3.0,843.0,372000,309382.74524714827,374460.3086419753,227676.4838012959,329506.6195652174,239800.66404715128,2814.7410253605535,387805.9160308473,390274.86273246416,356330.1189065805,139066688243.70834,151350900645.77646,138186928171.94717
69,43.0,3013,7,2005,2005,1362.0,1506,1506,6,2005.0,2.0,440.0,213490,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,239800.66404715128,2296.145360470699,209605.10088390388,193995.70075691986,218947.69379796053,42474911287.44687,40662488428.197815,45892553446.81961
70,44.0,17485,7,2009,2010,1508.0,1508,1508,5,2009.0,2.0,572.0,308030,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2296.5615038964265,209791.3882000988,206589.59060512178,220411.14584769664,45534648385.48144,43340717000.73859,46240360262.16272
71,0.0,23730,7,1996,1997,1840.0,2032,2032,7,1996.0,3.0,786.0,300000,309382.74524714827,230802.4849354376,227676.4838012959,329506.6195652174,239800.66404715128,2485.282995677953,294272.8867382869,249677.7947836608,274572.87819310045,68554750734.65603,73473405425.43745,80799353485.92369
72,79.0,8910,6,1959,1959,655.0,1194,1194,6,1954.0,2.0,539.0,159500,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,239800.66404715128,1939.7849649812779,127558.10837630114,161232.80278130723,154701.56578481957,24942967046.143238,20566551330.992775,19733439094.363495
73,24.0,2522,7,2004,2004,970.0,970,1709,7,2004.0,2.0,380.0,137500,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,140718.148409894,2335.797509383987,227355.4531560867,212891.38611700258,237477.04265410453,50556816781.59886,48402017563.65855,53991700646.79127
74,73.0,8688,7,2005,2005,1616.0,1616,1616,7,2005.0,3.0,834.0,232000,309382.74524714827,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2318.2511258647028,219500.78456671946,209489.84500611777,233122.788783227,48836856889.592155,45983185337.60331,51170635038.29996
75,0.0,6291,6,1930,1950,768.0,768,768,4,1930.0,2.0,440.0,93850,184125.95686619717,230802.4849354376,129050.19004524886,139988.4611048478,140718.148409894,1892.1708268577243,109062.67179618227,127436.01397434424,140598.3800564465,17917297125.64348,13898512167.097603,15334034979.171124
76,0.0,17529,5,1924,1950,872.0,872,872,5,1924.0,1.0,322.0,105000,126870.46666666666,143270.97834803528,129050.19004524886,139988.4611048478,140718.148409894,1706.9791710068928,102396.01350362324,123959.47546723431,109966.1281575425,13631343565.571632,12692956123.844978,11260093143.760885
77,60.0,6324,4,1927,1950,520.0,520,520,4,1920.0,1.0,240.0,68500,126870.46666666666,143270.97834803528,129050.19004524886,139988.4611048478,140718.148409894,1416.4110684235634,36969.31932768716,73533.66416112095,76263.14889290344,5607908778.560325,2718489511.7073855,2819396704.356699
78,80.0,11600,5,1960,1960,1105.0,1105,2274,12,1960.0,2.0,480.0,154300,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1948.4085604879117,187188.44950519816,162747.52897184965,116133.93344316006,18900510697.655552,30464457609.042854,21738930936.165012
79,50.0,7288,5,1925,2003,936.0,936,1601,6,1930.1899845121322,0.0,0.0,129850,105669.15044247788,230802.4849354376,129050.19004524886,139988.4611048478,106065.99122807017,1934.703090942539,182374.95040388464,132510.3251477347,153785.38448585372,20378151301.189873,24166563976.82074,28046601868.4499
80,35.0,4571,5,1910,1950,616.0,616,1232,6,1920.0,2.0,480.0,114000,184125.95686619717,143270.97834803528,129050.19004524886,139988.4611048478,140718.148409894,1794.0102131067774,132962.1930531309,117509.89701795141,128420.68977122498,15090702029.990934,15624373612.954388,17075096545.37785
81,63.0,17423,9,2008,2009,2216.0,2234,2234,9,2009.0,3.0,1166.0,501837,309382.74524714827,374460.3086419753,227676.4838012959,329506.6195652174,239800.66404715128,2895.381214573064,458054.78707605606,463660.32119513385,394654.9335294127,182985833241.4917,212381829700.6528,180773581546.3302
82,100.0,12665,5,1915,1950,876.0,876,1416,7,1949.0,3.0,720.0,153900,309382.74524714827,143270.97834803528,129050.19004524886,139988.4611048478,140718.148409894,1829.0706024374017,145275.75531204962,123264.68771678986,111729.32982057187,13772280949.13901,17907370611.360573,16231562780.192688
83,60.0,9000,4,1971,2006,864.0,864,864,5,1986.0,2.0,576.0,130000,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,140718.148409894,1531.2000739224204,85867.43670556747,89465.26277195953,77037.85944245645,6892212338.40865,7682152788.418197,6615043519.6075325
84,32.0,4500,6,1997,1997,1189.0,1189,1189,4,1997.0,2.0,392.0,160500,184125.95686619717,143270.97834803528,227676.4838012959,329506.6195652174,204792.03626943004,2078.6904010394433,181515.12166048514,188175.69288262667,165820.7316924921,31203431080.53883,34156733787.136066,30098970286.993366
85,48.0,6373,9,2006,2006,1666.0,1666,1666,6,2006.0,2.0,575.0,310090,184125.95686619717,374460.3086419753,227676.4838012959,329506.6195652174,204792.03626943004,2785.2967494630693,362155.83806425164,379141.69258458534,307133.9320914985,116447278863.32983,137308377423.06937,111230346574.5656
86,67.0,10083,7,2003,2003,1176.0,1200,1200,5,2003.0,2.0,555.0,184900,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2224.929644551928,177725.26386326097,199057.31597397118,206992.52467954153,41203376389.38553,35377514005.38654,36787801066.39408
87,70.0,13300,5,1956,2000,928.0,928,928,4,1956.0,1.0,252.0,132000,126870.46666666666,143270.97834803528,148415.5307068366,202537.58217592593,140718.148409894,1776.348877413913,126759.35387245496,132525.41244422187,124936.20653465844,16557222300.222097,16798835653.110167,15836832815.608889
88,80.0,9600,5,1969,1969,1288.0,1336,1336,6,1969.0,2.0,502.0,163000,184125.95686619717,143270.97834803528,148415.5307068366,202537.58217592593,204792.03626943004,1870.9806655525342,159994.9920717119,134438.21866027277,142297.24172158408,19130187697.32001,21509441728.685413,22766846061.071316
89,30.0,3215,7,2004,2004,600.0,600,1200,4,2004.0,2.0,480.0,155000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2224.929644551928,177725.26386326097,181299.47263344974,185596.1233051044,33648479278.02814,32221496612.049915,32985119986.398003
90,0.0,11104,6,1969,1969,1427.0,1427,1427,7,1969.0,2.0,516.0,183000,184125.95686619717,143270.97834803528,148415.5307068366,139988.4611048478,204792.03626943004,1988.5481793993342,146499.8969973946,160288.83522180998,151304.7703118553,24252465396.79078,23482297849.827515,22166133265.90125
91,0.0,15295,7,1996,2002,860.0,1212,1992,7,1996.0,2.0,608.0,211000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2383.8509751761035,248866.66929659498,236483.76920731954,249401.83554401522,58979486116.67276,58852927985.330284,62067804128.2962
92,70.0,9109,7,1994,1994,754.0,754,1540,6,1994.0,2.0,495.0,184000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,204792.03626943004,2303.145815731587,212738.86665327373,216779.4655219485,220209.76486571648,47736955130.30397,46117417808.84175,46847175803.51642
93,64.0,7018,5,1979,1979,0.0,1535,1535,8,1979.0,2.0,400.0,118858,184125.95686619717,143270.97834803528,108810.67647058824,107077.42608695652,140718.148409894,1807.567877525926,137723.78150374437,104491.86308503669,108335.15543674321,11320142229.192339,14391014520.442764,14920327276.544205
94,0.0,14112,5,1964,1964,1152.0,1152,1152,6,1964.0,2.0,484.0,180500,184125.95686619717,143270.97834803528,227676.4838012959,139988.4611048478,204792.03626943004,1777.1008297278233,127023.44710729491,132657.49213917542,125372.19610319106,16631561119.030228,16850611936.12694,15925208520.439095
95,80.0,3523,8,2006,2007,1141.0,1151,1151,5,2006.0,2.0,484.0,166000,184125.95686619717,230802.4849354376,227676.4838012959,202537.58217592593,239800.66404715128,2337.142881963744,165440.43981256706,215196.63010761715,228013.15623455722,49067662841.87833,35602225131.18649,37722596850.49671
